turn,q_index,lang,lang_id,rule_desc,input,target,pred,ce_query,conf_context,zslow_rule_l1,zslow_think_l1,zlang_norm,mem_items,timestamp
1,0,en,1,en: reverse tokens then uppercase every 2nd token,hidden lantern guides travelers,TRAVELERS guides LANTERN hidden,[[nnu e    uu e    uue u  u uuu]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],3.829,0.3251,4.1005,7.5912,10.8949,4,2025-10-17T13:18:46
1,1,en,1,en: reverse tokens then uppercase every 2nd token,autumn breeze wakes valley,VALLEY wakes BREEZE autumn,[[u      u        ue    u ]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]],3.829,0.3251,4.1005,7.5912,10.8949,4,2025-10-17T13:18:46
2,0,en,1,en: dedupe tokens then wrap digits with [],memory 8 pulse 8 pulse,memory [8] pulse,memoub 8 runse 8 rulue,2.979,0.3602,2.5975,4.9355,10.8949,5,2025-10-17T13:18:46
2,1,en,1,en: dedupe tokens then wrap digits with [],matrix 1 1 1 reboot,matrix [1] reboot,oattix   1 1 reboot,2.979,0.3602,2.5975,4.9355,10.8949,5,2025-10-17T13:18:46
3,0,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,vector field gamma delta,XGEVQT hkgnf icooc FGNVC,VEEToR fleLD gaMoa DELTA,2.4862,0.3817,3.8983,6.394,10.8949,6,2025-10-17T13:18:47
3,1,en,1,en: caesar shift by 2 then toggle ASCII case every 3 tokens,alpha beta gamma delta,CNRJC dgvc icooc FGNVC,ALPHa beta gappA DELTa,2.4862,0.3817,3.8983,6.394,10.8949,6,2025-10-17T13:18:47
4,0,base,0,base: add << >> then sort numeric tokens descending,memory 9 0 3 3,<<memory 9 3 0 3>>,ogo  b   0 3  ,2.73,0.3712,3.2368,5.9859,11.5183,7,2025-10-17T13:18:47
4,1,base,0,base: add << >> then sort numeric tokens descending,signal 4 4 9 7,<<signal 9 4 4 7>>,[ i      4    ,2.73,0.3712,3.2368,5.9859,11.5183,7,2025-10-17T13:18:47
5,0,en,1,en: append #index (1-based) to each token,gather labeled events nightly,gather#1 labeled#2 events#3 nightly#4,idvjgu nddgngd gvgpvu p ijvna],4.7464,0.276,3.1419,6.0824,10.8949,8,2025-10-17T13:18:47
5,1,en,1,en: append #index (1-based) to each token,render summary table view,render#1 summary#2 table#3 view#4,u[pdgu uuoodub vdbng vlgw]],4.7464,0.276,3.1419,6.0824,10.8949,8,2025-10-17T13:18:47
6,0,en,1,en: build acronym and append token count,neural task alignment process,NTAP (4),[EUTAL  Au  AnIIOEEOT sTOEEuu],4.3447,0.301,4.9036,8.7538,10.8949,9,2025-10-17T13:18:47
6,1,en,1,en: build acronym and append token count,secure channel handshake sequence,SCHS (4),[EEUTE E A OEn HAODUHAEE SETUEEEE],4.3447,0.301,4.9036,8.7538,10.8949,9,2025-10-17T13:18:47
7,0,base,0,base: evaluate arithmetic expression,calc(9*(4+3)),63,41443  ,3.4839,0.3471,4.391,8.3256,11.5183,10,2025-10-17T13:18:47
